Nr;Addresse;Gebaeudebezeichnung;Plz;Nettoflaeche;Denkmal;Prio;Einsparen;Kosten
30422003;Fischerstr. 36;Haus 01;10317;16436;ja ;725;50-60%;12187028
30051001;Mehringdamm 22;Haus 01;10961;9416;ja ;726;20-30%;3764209
30349019;Friedrich-Olbricht-Damm 16;Haus Nr. 12 - 14;13627;839;ja ;727;30-40%;338566
30108002;Turmstr. 91;Haus 02;10559;1839;ja ;728;30-40%;737113
30351010;Friedrich-Olbricht-Damm 40;Shedhalle ;13627;2428;nein ;729;> 60%;1914095
30349020;Friedrich-Olbricht-Damm 16;Haus Nr. 18;13627;842;ja ;730;30-40%;353228
30397001;Naglerstr. 1-3;Haus A ;10245;892;ja ;731;20-30%;327902
30126003;Haarlemer Str. 27;Haus 03;12359;729;nein ;732;20-30%;706456
30102002;Roedeliusplatz 1;Haus 02;10365;5004;ja ;733;10-20%;1836785
30154001;Groß-Berliner Damm 18;Haus 01;12487;7068;nein ;734;10-20%;1479558
30447002;Britzer Str. 5;Baracke 1;12439;675;ja ;735;50-60%;294579
30075004;Turmstr. 21;Haus D ;10559;3157;ja ;736;40-50%;1097006
30401002;Helmholtzstr. 37;Haus 02;12459;5635;nein ;737;20-30%;3802865
30349021;Friedrich-Olbricht-Damm 16;Haus Nr. 20 - 22;13627;872;ja ;738;30-40%;345230
30193012;Cecilienstr. 92;Haus 09;12683;10828;nein ;739;10-20%;2135362
30384002;Kiefheider Weg 72;Haus 02;13508;1785;nein ;740;30-40%;1027693
30067001;Seelenbinderstr. 99;Haus 01;12555;11681;ja ;741;20-30%;4397354
30209002;Moritzstr. 10;Haus 01b;13597;2579;nein ;742;> 60%;2397951
30385002;Robert-von-Ostertag-Str. 2;Haus 02;14163;423;nein ;743;30-40%;611817
30349023;Friedrich-Olbricht-Damm 16;Haus Nr. 28 - 30;13627;1215;ja ;744;30-40%;499851
30173001;Roedernallee 55;Haus 01;13437;2647;nein ;745;> 60%;1874107
30266005;Pablo-Picasso-Str. 4;Haus 05;13057;990;nein ;746;50-60%;1662170
30166001;Märkische Allee 181, 189;Haus 01;12681;6663;nein ;747;20-30%;3909499
30077002;Alt-Moabit 5;Haus 02;10559;2237;nein ;748;40-50%;1318273
30441006;Genslerstr. 66;Haus 06;13055;485;ja ;749;40-50%;494519
30208001;Mertensstr. 140;Haus 01;13587;894;nein ;750;20-30%;203939
30063001;Sarrazinstr. 4;Haus 01;12159;5523;nein ;751;20-30%;1186312
30126004;Haarlemer Str. 27;Haus 04;12359;1361;nein ;752;30-40%;2022063
30047001;Hanna-Renate-Laurien-Platz 1;Haus 01;12247;5018;ja ;753;30-40%;1246295
30254001;Kladower Damm 367;Haus 01;14089;1201;nein ;754;30-40%;579827
30205012;Kruppstr. 2-4;Haus 11;10557;5115;ja ;755;40-50%;2413946
30216017;Ruppiner Chaussee 240,268;Halle 17;13503;605;ja ;756;50-60%;634477
30007008;Alt-Friedrichsfelde 60;Haus 06c;10315;1224;nein ;757;20-30%;1119666
30447001;Britzer Str. 5;Baracke 3;12439;654;ja ;758;> 60%;618482
30193011;Cecilienstr. 92;Haus 08;12683;790;nein ;759;20-30%;475858
30349009;Friedrich-Olbricht-Damm 16;Personalrat ;13627;1204;ja ;760;40-50%;441202
30183001;Alt-Biesdorf 33;Haus 01;12683;1653;nein ;761;40-50%;835750
30447006;Britzer Str. 5;Baracke 6;12439;599;ja ;762;> 60%;673132
30447004;Britzer Str. 5;Baracke 4;12439;656;ja ;763;> 60%;630478
30447005;Britzer Str. 5;Baracke 5;12439;613;ja ;764;> 60%;690461
30260001;Marktstr. 13;Haus 01;10317;2171;ja ;765;40-50%;795762
30422004;Fischerstr. 36;Haus 03;10317;3029;ja ;766;50-60%;1454232
30249001;Invalidenstr. 57,58;Haus 01;10557;4549;nein ;767;50-60%;3099075
