Sanierungsfahrplan SILB gemäß Berliner Klimaschutz- und Energiewendegesetz (EWG Bln);;;;;;;;5/4/22
;;;;;;;;
"Gebäude
Nr.";Adresse;"Gebäude-
bezeichnung";PLZ;"Netto-
raum-
fläche m²";Denkmal-schutz;"Priorisierung
für weitere Sanierungs-
planungen";Einspar-potenzial Endenergie;"Grobkosten-schätzung
EURO
brutto"
30444001;Am Großen Wannsee 56,58 ;Haus 01 ;14109;1.824;ja;153;40-50%;1.130.329
30119002;Bismarckstr. 20;Haus 02 ;10625;1.624;nein;154;30-40%;879.737
30104001;Schönstedtstr. 5;Haus 01 ;13357;12.052;nein;155;50-60%;5.799.602
30118003;Am Fort 48 D;Haus 03 ;13591;719;nein;156;> 60%;381.220
30134001;Oschatzer Ring 13;Haus 01 ;12627;411;nein;157;10-20%;98.637
30448001;Parkaue 23-29 ;Haus 01 ;10367;12.746;ja;158;40-50%;4.530.647
30355002;Wallstr. 32;Haus B ;10179;3.552;nein;159;50-60%;2.639.212
30356001;Müllerstr. 147;Haus 01 ;13353;7.384;ja;160;10-20%;1.519.546
30358001;Königin-Luise-Str. 49;Haus 01;14195;1.363;ja;161;40-50%;1.037.024
30417001;Gierkeplatz 1,3;Haus 01 ;10585;7.453;nein;162;50-60%;5.067.820
30216046;Ruppiner Chaussee 240,268;Haus 17 ;13503;6.977;ja;163;> 60%;2.210.007
30257001;Kruppstr. 15;Haus 01 ;10557;4.549;ja;164;30-40%;2.055.386
30194001;Charlottenburger Chaussee 67,75;Haus 01 ;13597;5.044;nein;165;50-60%;3.449.637
30194002;Charlottenburger Chaussee 67,75;Haus 02 ;13597;5.046;nein;166;50-60%;3.477.628
30195027;Friesenstr. 16;"Haus 19 - 19d, 
22 - 24";10965;6.977;ja;167;50-60%;2.673.868
30123001;Erbeskopfweg 6-10;Haus 01 ;13158;3.121;nein;168;40-50%;2.154.023
30390001;Hallesches Ufer 32-38;Haus 01 ;10963;2.982;nein;169;> 60%;1.720.820
30118001;Am Fort 48 D;Haus 01 ;13591;765;nein;170;> 60%;391.883
30216034;Ruppiner Chaussee 240,268;Haus 04 ;13503;5.486;ja;171;50-60%;2.040.724
30195010;Friesenstr. 16;Haus 05 ;10965;2.219;ja;172;50-60%;862.409
30185001;Am Nordgraben 6,7,8;Haus 01 ;13437;4.743;nein;173;50-60%;3.153.725
30091001;Lehrter Str. 60;Haus 01 ;10557;2.506;ja;174;30-40%;1.006.366
30395001;Osloer Str. 23-26;Haus 01 ;13359;4.806;nein;175;30-40%;1.991.405
30121003;Cyclopstr. 1-7;Haus 03 ;13469;705;nein;176;30-40%;627.813
30130001;Kochstr. 9;Haus 01 ;10969;8.307;nein;177;> 60%;4.485.327
30216035;Ruppiner Chaussee 240,268;Haus 05 ;13503;5.452;ja;178;50-60%;2.044.723
30405004;Goldbeckweg 8-14;Haus 04 ;13599;1.395;nein;179;30-40%;1.674.167
30118002;Am Fort 48 D;Haus 02 ;13591;727;nein;180;> 60%;377.221
30404002;Rudower Str. 184;Haus 02 ;12351;946;nein;181;40-50%;449.199
30412004;Driesener Str. 22;Haus 04 ;10439;1.184;ja;182;30-40%;491.853
30002001;Klosterstr. 59;Haus 01 ;10179;26.229;ja;183;20-30%;9.077.290
30210001;Pankstr. 28;Haus 01/01a ;13357;6.431;nein;184;50-60%;3.115.070
30381001;Alfredstr. 11;Haus 01 ;10365;4.156;ja;185;20-30%;1.619.516
30357001;Parochialstr. 1-3;Haus 01 ;10179;8.399;ja;186;10-20%;1.678.166
30379003;Ollenhauerstr. 128;Haus 03 ;13403;252;nein;187;> 60%;297.245
30196001;Gallwitzallee 87,95;Haus 01 ;12249;1.462;nein;188;> 60%;1.065.015
30409002;Wrangelstr. 98;Haus 02 ;10997;5.893;nein;189;30-40%;5.117.139
30205011;Kruppstr. 2-4;Haus 10 ;10557;8.465;nein;190;50-60%;4.677.270
30433001;Kantstr. 11-12 ;Haus 01 ;10623;10.274;ja;191;50-60%;4.214.742
30358010;Königin-Luise-Str. 49;Haus 10;14195;372;ja;192;50-60%;386.551
30216032;Ruppiner Chaussee 240,268;Haus 02 ;13503;2.759;ja;193;50-60%;1.017.030
30351016;Friedrich-Olbricht-Damm 40;Haus 09 ;13627;3.165;ja;194;30-40%;903.730
30075011;Turmstr. 21;Haus M ;10559;22.982;ja;195;30-40%;5.652.979
